 LUCES , NDVI , ZURBANA , AREA , TEMPERATURA , DENSIDAD 
63,0.18,0.47,0.44,29.71,4881
63,0.18,0.47,0.67,29.71,5150
62.75,0.18,0.47,0.88,29.71,2897
62,0.18,0.47,0.44,29.71,2371
62,0.18,0.47,0.59,29.71,1810
54,0.18,0.47,0.39,29.71,3924
56,0.18,0.47,0.42,29.71,2425
56,0.18,0.47,0.25,29.71,2579
55,0.18,0.47,0.41,29.71,747
63,0.2,0.59,0.69,31.3,6662
63,0.12,0.75,0.44,32.11,13309
63,0.15,0.81,0.37,30.13,9333
63,0.15,0.81,0.29,30.13,7323
62.25,0.13,0.8,0.73,30.5,3491
62.67,0.15,0.81,0.57,30.13,9099
63,0.15,0.81,0.23,30.13,14073
63,0.15,0.81,0.31,30.13,7632
62,0.15,0.81,0.38,30.13,9269
62,0.15,0.81,0.3,30.13,11455
62,0.15,0.81,0.62,30.13,10571
62,0.15,0.81,0.17,30.13,11327
62,0.11,0.77,0.55,31.14,6217
62,0.11,0.77,0.73,31.14,4
62,0.1,0.68,1.1,31.98,2960
63,0.08,0.75,0.17,31.64,10868
63,0.08,0.75,0.37,31.64,12273
62,0.08,0.75,0.57,31.64,9044
63,0.08,0.75,0.36,31.64,11803
62,0.08,0.75,0.19,31.64,16787
62,0.12,0.51,0.26,32.51,21152
62,0.12,0.51,0.25,32.51,20908
62,0.12,0.51,0.31,32.51,23353
63,0.08,0.75,1.65,31.64,1918
62,0.08,0.63,0.25,32.34,15191
62,0.12,0.51,0.34,32.51,17511
62,0.12,0.51,0.4,32.51,19659
62,0.08,0.63,0.61,32.34,18968
62,0.12,0.51,0.28,32.51,15979
63,0.11,0.76,0.41,32.18,15417
63,0.08,0.63,1.39,32.34,1837
62,0.08,0.63,0.28,32.34,24877
62,0.08,0.63,0.24,32.34,24417
62,0.08,0.63,0.25,32.34,32072
62,0.08,0.63,0.44,32.34,11356
63,0.11,0.76,1.15,32.18,6165
63,0.08,0.63,0.23,32.34,22769
62,0.08,0.63,0.38,32.34,12341
62,0.08,0.63,0.24,32.34,22606
63,0.11,0.76,0.57,32.18,7184
63,0.08,0.63,0.22,32.34,28395
63,0.08,0.63,0.23,32.34,26318
62,0.08,0.63,0.22,32.34,24976
63,0.11,0.76,0.19,32.18,14244
63,0.08,0.63,0.32,32.34,18745
62,0.08,0.63,0.33,32.34,9731
62,0.14,0.56,0.16,32.29,22389
62,0.14,0.56,0.14,32.29,22121
62,0.14,0.56,0.17,32.29,25160
63,0.11,0.76,0.73,32.18,2221
63,0.08,0.63,0.57,32.34,17949
63,0.08,0.63,0.47,32.34,17606
62,0.1,0.73,0.21,33.14,17349
63,0.11,0.76,0.57,32.18,7158
63,0.11,0.76,0.39,32.18,16386
63,0.11,0.76,0.69,32.18,512
63,0.08,0.63,0.42,32.34,15371
63,0.09,0.68,0.49,32.74,15617
62,0.1,0.73,0.25,33.14,15881
63,0.09,0.64,0.56,32.32,13898
63,0.1,0.73,0.53,33.14,15259
63,0.1,0.73,0.44,33.14,17348
62,0.1,0.73,0.27,33.14,12796
63,0.11,0.76,0.28,32.18,21835
63,0.11,0.76,0.1,32.18,14397
63,0.09,0.64,0.18,32.32,17991
63,0.1,0.73,0.26,33.14,14166
63,0.1,0.73,0.4,33.14,14441
62,0.1,0.73,0.29,33.14,22284
62,0.08,0.75,0.16,31.64,13505
62,0.18,0.59,0.75,31.89,6389
63,0.38,0.2,0.45,26.71,12186
63,0.38,0.2,0.44,26.71,10597
63,0.15,0.81,0.22,30.13,8108
63,0.15,0.81,0.37,30.13,4184
62,0.12,0.75,0.41,32.11,14971
62,0.16,0.62,0.27,32.41,14277
63,0.15,0.81,0.6,30.13,6472
62,0.12,0.75,0.36,32.11,15061
62,0.12,0.75,0.44,32.11,14974
62,0.16,0.62,0.37,32.41,18079
63,0.15,0.81,0.3,30.13,14869
60,0.12,0.75,0.4,32.11,14844
62,0.16,0.62,0.36,32.41,16714
60,0.12,0.75,0.42,32.11,17063
63,0.08,0.75,0.43,31.64,20534
63,0.11,0.76,0.26,32.18,24998
62,0.12,0.51,0.61,32.51,9235
62,0.12,0.51,0.34,32.51,22028
62,0.12,0.51,0.19,32.51,16420
62,0.12,0.51,0.4,32.51,19294
62,0.12,0.51,0.28,32.51,23894
62,0.08,0.63,0.22,32.34,27567
62,0.12,0.51,0.41,32.51,24380
62,0.12,0.51,0.39,32.51,20858
62,0.14,0.56,0.46,32.29,19562
62,0.14,0.56,0.35,32.29,24163
62,0.14,0.56,0.24,32.29,20851
62,0.14,0.56,0.24,32.29,23630
62,0.14,0.56,0.26,32.29,21056
62,0.1,0.73,0.44,33.14,18703
62,0.14,0.56,0.42,32.29,20355
61,0.14,0.56,0.4,32.29,10351
60,0.14,0.56,0.43,32.29,10264
62,0.1,0.73,0.53,33.14,16936
60,0.1,0.73,0.5,33.14,18968
63,0.2,0.62,0.44,32.29,7496
63,0.38,0.2,0.39,26.71,12822
62,0.16,0.39,0.23,33.32,11461
62,0.16,0.39,0.17,33.32,16687
62,0.08,0.75,0.28,31.64,12640
62,0.16,0.39,0.41,33.32,18197
62,0.16,0.39,0.4,33.32,20044
62,0.16,0.39,0.22,33.32,14663
62,0.16,0.39,0.36,33.32,16364
62.5,0.12,0.75,0.66,32.11,18178
62,0.18,0.59,0.31,31.89,22353
62,0.19,0.53,0.35,31.23,16328
62,0.19,0.53,0.3,31.23,25928
62,0.19,0.53,1.03,31.23,10974
63,0.19,0.56,0.25,30.37,20849
62,0.16,0.39,0.2,33.32,19732
62,0.16,0.39,0.53,33.32,7097
62,0.16,0.39,0.38,33.32,18785
63,0.08,0.63,0.56,32.34,14343
63,0.08,0.63,0.25,32.34,18508
