ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,CVEGEO,luces,ndvi,zurbana,Datos,AREA,DENSIDAD,POBTOT,TOTHOG,VIVTOT,TVIVHAB,TEMPERATURA
15,México,11,Atenco,1,Total AGEB urbana,231,1.50E+12,61,0.193028686,0.520096729,1,0.176053205,1050.818701,185,37,46,38,31.4384
15,México,11,Atenco,2,Total AGEB urbana,49,1.50E+12,62,0.25170737,0.558698415,1,0.730852343,6374.748664,4659,1046,1150,1056,31.2329
15,México,11,Atenco,4,Total AGEB urbana,34,1.50E+12,60,0.204300983,0.558698415,1,0.662796556,5570.336725,3692,820,915,827,31.1188
15,México,11,Atenco,4,Total AGEB urbana,157,1.50E+12,60,0.204300983,0.558698415,1,0.330912986,2160.68885,715,169,208,169,31.1188
15,México,11,Atenco,13,Total AGEB urbana,250,1.50E+12,60,0.155005918,0.624447889,1,0.539645423,5327.572286,2875,659,782,671,32.41
15,México,11,Atenco,13,Total AGEB urbana,265,1.50E+12,60,0.204300983,0.558698415,1,0.513594979,4118.030914,2115,487,569,488,31.1188
15,México,11,Atenco,29,Total AGEB urbana,284,1.50E+12,60,0.155005918,0.624447889,1,0.504046176,2598.968232,1310,301,385,304,32.41
15,México,11,Atenco,29,Total AGEB urbana,301,1.50E+12,60,0.155005918,0.624447889,1,0.17530863,7090.352613,1243,276,313,279,32.41
15,México,11,Atenco,29,Total AGEB urbana,320,1.50E+12,60,0.155005918,0.624447889,1,0.303816145,3857.596185,1172,261,331,265,32.41
15,México,12,Atizapán,1,Total AGEB urbana,46,1.50E+12,61,0.284282325,0.232698033,1,0.899848181,3918.438769,3526,698,825,711,28.0292
15,México,12,Atizapán,1,Total AGEB urbana,50,1.50E+12,61,0.284282325,0.232698033,1,0.502610717,7254.123076,3646,704,787,710,28.0292
15,México,12,Atizapán,1,Total AGEB urbana,65,1.50E+12,61,0.284282325,0.232698033,1,0.086963772,2219.31495,193,45,47,46,28.0292
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,39,1.50E+12,63,0.156281383,0.792734077,1,0.256668197,14859.65168,3814,965,1007,971,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,62,1.50E+12,63,0.187849609,0.714467533,1,0.719725292,11241.78918,8091,2048,2291,2093,28.59365
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,128,1.50E+12,63,0.282554285,0.479667899,1,0.632788145,5997.267854,3795,1117,1248,1139,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,132,1.50E+12,63,0.282554285,0.479667899,1,0.533355596,3946.710257,2105,590,711,635,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,147,1.50E+12,63,0.210887711,0.554232645,1,0.478130765,9480.669999,4533,1215,1347,1219,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,170,1.50E+12,63,0.210887711,0.554232645,1,0.563694521,9679.001301,5456,1462,1588,1508,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,202,1.50E+12,63,0.282554285,0.479667899,1,0.572145431,6888.108837,3941,1141,1265,1171,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,221,1.50E+12,63,0.282554285,0.479667899,1,0.32356541,11914.12888,3855,1061,1172,1069,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,236,1.50E+12,63,0.136783734,0.879795499,1,0.833718926,8288.164973,6910,1896,2189,1953,30.8802
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,255,1.50E+12,63,0.136783734,0.879795499,1,0.573867274,10199.22248,5853,1640,1929,1687,30.8802
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,274,1.50E+12,63,0.156281383,0.792734077,1,0.328711639,16993.61791,5586,1375,1474,1389,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,344,1.50E+12,63,0.282554285,0.479667899,1,0.227915153,7520.342451,1714,405,450,419,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,359,1.50E+12,62.07692308,0.300285176,0.46462754,1,3.449175691,0,0,0,1,*,27.89818667
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,363,1.50E+12,63,0.210887711,0.554232645,1,1.536030319,767.5629742,1179,367,456,368,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,382,1.50E+12,63,0.210887711,0.554232645,1,1.135672869,2285.869523,2596,675,740,696,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,433,1.50E+12,63,0.277504992,0.100209867,1,0.779034245,5775.099141,4499,1377,1492,1389,28.7064
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,448,1.50E+12,63,0.221216489,0.41204412,1,1.312468348,2220.244019,2914,804,972,839,29.57592
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,490,1.50E+12,63,0.156281383,0.792734077,1,0.353967026,16854.67733,5966,1511,1672,1519,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,522,1.50E+12,63,0.156281383,0.792734077,1,0.758494447,6365.241066,4828,1271,1584,1350,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,556,1.50E+12,63,0.156281383,0.792734077,1,0.443565429,16110.36283,7146,1769,1929,1824,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,560,1.50E+12,63,0.282554285,0.479667899,1,0.675939066,7870.531926,5320,1298,1428,1319,31.3718
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,594,1.50E+12,63,0.154016098,0.601801981,1,0.06291523,15258.62661,960,247,292,247,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,607,1.50E+12,63,0.154016098,0.601801981,1,0.168271138,10043.31475,1690,431,472,431,28.9678
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,630,1.50E+12,63,0.210887711,0.554232645,1,0.286307697,18413.75575,5272,1260,1313,1262,29.9644
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,679,1.50E+12,61,0.34747734,0.425434842,1,1.706069916,1154.700626,1970,480,550,500,27.51896
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,072A,150130001072A,63,0.156281383,0.792734077,1,0.086619854,8623.888951,747,186,209,192,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,734,1.50E+12,63,0.156281383,0.792734077,1,0.445468627,14559.94789,6486,1496,1641,1545,27.6676
15,México,13,Atizapán de Zaragoza,1,Total AGEB urbana,749,1.50E+12,63,0.277504992,0.100209867,1,1.204829091,1210.960136,1459,363,403,369,28.7064
