ENTIDAD,MUN,LOC,AGEB, LUCES , NDVI , ZURBANA , AREA , DENSIDAD , TEMPERATURA ,POBTOT,TOTHOG,VIVTOT,TVIVHAB
15,31,1,573, 63.00 , 0.08 , 0.61 , 0.29 ," 21,130.71 ", 32.41 ,6138,1567,1669,1580
15,31,1,588, 63.00 , 0.08 , 0.61 , 0.26 ," 20,598.81 ", 32.41 ,5452,1421,1531,1430
15,31,1,605, 63.00 , 0.09 , 0.62 , 0.44 ," 18,581.77 ", 32.36 ,8134,1929,2019,1936
15,31,1,061A, 63.00 , 0.09 , 0.63 , 0.32 ," 19,981.13 ", 32.31 ,6369,1554,1657,1574
15,31,1,639, 63.00 , 0.09 , 0.63 , 0.39 ," 15,382.58 ", 32.31 ,5970,1462,1619,1494
15,31,1,643, 63.00 , 0.09 , 0.63 , 0.31 ," 20,151.49 ", 32.31 ,6274,1608,1742,1627
15,31,1,658, 63.00 , 0.09 , 0.63 , 0.59 ," 11,858.14 ", 32.31 ,7012,1755,1915,1776
15,31,1,662, 63.00 , 0.09 , 0.63 , 0.51 ," 17,798.72 ", 32.31 ,9150,2214,2463,2284
15,31,1,677, 63.00 , 0.09 , 0.63 , 0.40 ," 19,349.98 ", 32.31 ,7808,1857,2050,1861
15,31,1,681, 63.00 , 0.09 , 0.63 , 0.33 ," 13,425.68 ", 32.31 ,4451,1062,1180,1107
15,31,1,696, 63.00 , 0.19 , 0.50 , 0.74 ," 9,523.66 ", 31.00 ,7026,1656,1789,1673
15,31,1,713, 63.00 , 0.19 , 0.50 , 0.32 ," 17,565.48 ", 31.00 ,5545,1370,1451,1373
15,31,1,766, 63.00 , 0.08 , 0.61 , 0.07 ," 21,994.21 ", 32.41 ,1624,405,445,406
15,31,1,817, 63.00 , 0.15 , 0.50 , 0.36 ," 21,240.43 ", 31.93 ,7650,1821,1949,1827
15,31,1,821, 63.00 , 0.15 , 0.50 , 0.35 ," 18,875.87 ", 31.93 ,6573,1642,1807,1654
15,31,1,840, 63.00 , 0.14 , 0.62 , 0.62 ," 11,612.49 ", 29.98 ,7153,1610,1916,1619
15,31,1,855, 63.00 , 0.17 , 0.56 , 0.36 ," 14,584.87 ", 30.49 ,5316,1237,1423,1246
15,31,1,086A, 63.00 , 0.19 , 0.50 , 0.82 ," 10,793.95 ", 31.00 ,8798,1835,2103,1866
15,31,1,889, 63.00 , 0.08 , 0.61 , 0.36 ," 14,356.95 ", 32.41 ,5104,1226,1349,1234
15,31,1,893, 63.00 , 0.09 , 0.62 , 0.34 ," 14,397.24 ", 32.36 ,4880,1150,1228,1151
15,31,1,093A, 63.00 , 0.19 , 0.50 , 0.23 ," 15,089.81 ", 31.00 ,3444,755,856,764
15,31,1,959, 63.00 , 0.08 , 0.61 , 0.30 ," 20,450.78 ", 32.41 ,6222,1530,1744,1537
15,31,1,997, 63.00 , 0.19 , 0.50 , 0.30 ," 11,115.27 ", 31.00 ,3385,767,941,774
15,31,1,1001, 63.00 , 0.15 , 0.50 , 0.10 ," 18,920.13 ", 31.93 ,1977,458,531,459
15,31,1,1035, 63.00 , 0.19 , 0.50 , 0.70 ," 17,881.39 ", 31.00 ,12431,2873,3133,2888
